"Nombre de Cuenta", "Número de Cuenta", "Razon Social", "Nombre Comercial", "RUT", "GR", "Miembro de", "Tipo", "Página web", "EMAIL Principal", "Teléfono Principal", "Facturación Anual", "Celular", "Email (Alternativo)", "Teléfono Secundario", "Fecha Creación Empresa", "Aniversario", "Rubro", "Cantidad Empleados", "Sub Grupo de Actividad", "Modificado por", "Grupo de Actividad", "Exportador?", "Importador?", "RUT anterior", "Interviene DOCUMENTOS", "Empresa Familiar", "Socio CEF", "Fecha de Creación", "Asignado a", "Fuente", "No Enviar Email", "Responsable Pagos", "Fecha de Modificación", "Región / Localidad", "Dirección (Factura)", "Dirección (Envío)", "Ciudad (Factura)", "Ciudad (Envío)", "Código Postal (Factura)", "Código Postal (Envío)", "País (Factura)", "País (Envío)", "Departamento (Factura)", "Departamento (Envío)", "Descripción", "Número único", "Tipo de socio", "Estado"
"Administracion Nacional de Puertos","ACC1863","Administracion Nacional de Puertos","Administracion Nacional de Puertos","212596710018","0","","Empresas Socias Directas","","jgranja@anp.com.uy","","0.00000000","99869743","","","","","","","","admin","","0","0","0","0","0","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:12","Paysandú","","","","","","","","","","","D. Villar","212596710018","TS02","BAJ"
"Antel","ACC1864","ADMINISTRACIÓN NACIONAL DE TELECOMUNICACIONES","Antel","211003420017","0","","Empresas Socias Directas","","pvgarcia@Antel.com.uy","29280000","0.00000000","","","","","","Tecnología-Telecomunicaciones- actividades conexas","Grande (más 99)","","admin","","0","0","0","0","0","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:12","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","","TS02","VIG"
"ACSA","ACC1865","ADMINISTRACIONES Y COMISIONES SA","ACSA","210236910019","0","","Empresas Socias Directas","","contabilidad@acsa.uy","29080241 Int 172","0.00000000","","","","","","Servicios Profesionales- Técnicos Especializados -Certificaciones","Mediana (20 a 99)","5","admin","19. Servicios profesionales, técnicos, especializados y aquellos no incluidos en otros grupos","0","0","0","0","1","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:12","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","210236910019","TS01","VIG"
"RESIDENCIAL MAGNA","ACC1866","ADOLMARE SA","RESIDENCIAL MAGNA","215930080018","0","","Socios Indirectos","","mengualfernando@yahoo.com.ar","","0.00000000","99784998","","","","","","","","admin","","0","0","0","0","0","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:12","Montevideo","","","","","","","","","","","","215930080018","",""
"ADP","ACC1867","ADP SA","ADP","214921780012","0","","Empresas Socias Directas","www.adp.com.uy","comunicacion@adp.uy","4534 3370","0.00000000","93793849","","","","","Ganadería - Agricultura y Actividades Conexas","Mediana (20 a 99)","20","admin","10. Comercio en general","0","0","0","0","1","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:12","Soriano","","","","","","","","Uruguay","","","L. Viana","214921780012","TS02","VIG"
"GRAUSER","ACC1868","ADVOCAVI SA","GRAUSER","217224520013","0","","","","info@grauser.com.uy","29292398","0.00000000","","","","","","","Mediana (20 a 99)","","admin","","0","0","0","0","0","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:12","Montevideo","","","","","","","","","","","","","",""
"Aeromarine","ACC1869","AEROMARINE SA","Aeromarine","210652540015","0","","Empresas Socias Directas","www.aeromarine.com.uy","as@aeromarine.com.uy","29166456","0.00000000","","mb@aeromarine.com.uy","","","","Tecnología-Telecomunicaciones- actividades conexas","","","admin","","0","0","0","0","1","Socio","2023-09-05 18:25:39","vpopovich@cncs.com.uy","IMPORT","0","","2026-04-17 12:33:12","Montevideo","","RBLA 25 DE AGOSTO 326","","","","","","Uruguay","","",".","210652540015","",""
"Afrecor","ACC1870","AFRECOR SA","Afrecor","216429700015","0","Accounts::::CEGRU","Socios Indirectos","","jpluizzi@afrecor.com.uy","23119915","0.00000000","96106393","","","","","","","","admin","","0","0","0","0","0","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:13","Montevideo","","","","","","","","","","","D. Villar","216429700015","",""
"AGNI","ACC1871","AGNI SAS","AGNI","0","0","","","","agni.uruguay@gmail.com","","0.00000000","99041149","","","","","","","","admin","","0","0","0","0","0","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:13","","","","","","","","","","","","D. Villar","","",""
"Agroenfoque","ACC1872","AGROENFOQUE SA","Agroenfoque","0","0","","","www.agroenfoque.com.uy","","23693591","0.00000000","","","","","","","","","admin","","0","0","0","0","0","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:13","","","","","","","","","","","","A. Pola","","",""
"AGROLAND","ACC1873","AGROLAND SA","Bodega Garzón","214081990017","0","","Empresas Socias Directas","www.agroland.com/es/index.html","rrhh@agroland.com","4224 1759","0.00000000","","","","","","Ganadería - Agricultura y Actividades Conexas","Grande (más 99)","","admin","","0","0","0","0","0","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:13","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","214081990017","TS02","VIG"
"Agronor","ACC1874","Agronor SA","Agronor","0","0","","","","jorge.espanya@gmail.com","","0.00000000","91144451619","","","","","","","","admin","","0","0","0","0","0","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:13","Colonia","","","","","","","","","","","D. Villar","","",""
"AGROPICK","ACC1875","AGROPICK SA","AGROPICK","215124200010","0","","Empresas Socias Directas","www.agropick.com/es/","adm@agropick.com","26003886","0.00000000","","","","","","Ganadería - Agricultura y Actividades Conexas","Pequeña (5 a 19)","5","admin","10. Comercio en general","1","0","0","1","0","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:13","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","215124200010","TS02","VIG"
"AGROTIMES","ACC1876","AGROTIMES SA","AGROTIMES","214149250013","0","","Empresas Socias Directas","www.agrotimes.com.uy","agrotimes@netgate.com.uy","22002313","0.00000000","","","","","","Textiles - vestimentas - cuero y calzado","Pequeña (5 a 19)","3","admin","5. Industrias del Cuero, Vestimenta y Calzado","1","0","0","1","1","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:13","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","214149250013","TS02","VIG"
"AGROVETERINARIA LA PRADERA FLORIDA","ACC1877","AGROVETERINARIA LA PRADERA FLORIDA SA","AGROVETERINARIA LA PRADERA FLORIDA","70062010019","0","","Empresas Socias Directas","www.lapradera.com.uy","carlos_pradera@montevideo.com.uy","43523861","0.00000000","","","","","","Ganadería - Agricultura y Actividades Conexas","","","admin","","0","0","0","0","1","Socio","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:13","Florida","","GALLINAL 580","","","","","","Uruguay","Florida","Florida",".","","",""
"APROASE","ACC1878","AGRUPACION DE PROFESIONALES ASESORES EN SEGUROS","APROASE","230","230","","Gremiales/Asociación","","aproase@vera.com.uy","29002553","0.00000000","","","","","","","","","admin","","0","0","0","0","0","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:13","","","","","","","","","Uruguay","","","L. Viana","GR230","TS03","SOLIC-BAJA"
"AHINCO","ACC1879","AHINCO SA","AHINCO","0","0","","","","aldabifr@gmail.com","","0.00000000","92197486","","","","","","","","admin","","0","0","0","0","0","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:13","Paysandú","","","","","","","","","","","D. Villar","","",""
"El Arriero","ACC1881","ALEGRE SETTIMANO ESTELA ISABEL","El Arriero","110225310019","0","","","","","","0.00000000","96128575","","","","","","Pequeña (5 a 19)","","admin","","0","0","0","0","0","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:13","Canelones","","","","","","","","Uruguay","","","","","",""
"Grupo RAS","ACC1882","Alezer SA","Grupo RAS","216059580010","0","","Empresas Socias Directas","","ssirino@gruporas.com","29244525","0.00000000","","","","","","Logística –Transporte – Distribuidora - Almacenamiento","Grande (más 99)","Residual","admin","19. Servicios profesionales, técnicos, especializados y aquellos no incluidos en otros grupos","0","0","0","0","0","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:13","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","216059580010","TS02","VIG"
"ESTUDIO KAPLAN","ACC1883","ALFREDO BENNO KAPLAN KATZ","ESTUDIO KAPLAN","211138150018","0","","Empresas Socias Directas","www.estudiokaplan.com","tesoreria@estudiokaplan.com","26232921","0.00000000","","","","","","Servicios Profesionales- Técnicos Especializados -Certificaciones","Mediana (20 a 99)","17","admin","19. Servicios profesionales, técnicos, especializados y aquellos no incluidos en otros grupos","0","0","0","0","0","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:14","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","211138150018","TS02","SOLIC-BAJA"
"ALFREDO ROHNER","ACC1884","ALFREDO ROHNER","ALFREDO ROHNER","0","0","","","","","","0.00000000","","","","","","","","","admin","","0","0","0","0","0","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:14","","","","","","","","","","","","","","",""
"ALGORTA","ACC1885","ALGORTA SA","ALGORTA","210001100017","0","","Empresas Socias Directas","www.algorta.com.uy","lbique@algorta.com.uy","22199999","0.00000000","","","","","","Bazar-Ferretería-Pinturería","Grande (más 99)","5","admin","10. Comercio en general","0","1","0","0","0","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:14","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","210001100017","TS01","VIG"
"PUNTA CARRETAS SHOPPING","ACC1886","ALIAN SA","PUNTA CARRETAS SHOPPING","211476440015","0","","Empresas Socias Directas","","mdaffonchio@puntacarretas.com.uy","27103741","0.00000000","","","","","","Supermercados- Centro Comerciales- Retail","Mediana (20 a 99)","21.1","admin","19. Servicios profesionales, técnicos, especializados y aquellos no incluidos en otros grupos","0","0","0","0","0","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:14","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","211476440015","TS02","VIG"
"ALIBA","ACC1887","Aliba SRL","ALIBA","0","0","","","","aurora.kluver@gmail.com","","0.00000000","99290588","","","","","","","","admin","","0","0","0","0","0","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:14","Canelones","","","","","","","","","","","D. Villar","","",""
"Alimenticia S.A.","ACC1888","ALIMENTICIA S.A.","Distribuidora de Alimentos Alimenticia","211495130018","0","","Empresas Socias Directas","www.alimenticia.com.uy/","alimenticiauy@gmail.com","23592426","0.00000000","","","","","","Logística –Transporte – Distribuidora - Almacenamiento","Mediana (20 a 99)","","admin","","0","0","0","0","1","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:14","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","211495130018","TS02","VIG"
"Pepe Bananas","ACC1889","ALMAR SRL","Pepe Bananas","212284060018","0","","Empresas Socias Directas","www.somospepe.com.uy","almarsrl@hotmail.com","25080148","0.00000000","","","","","","Viñedos - Cítricos - Fruticultura - Horticultura - floricultura","Mediana (20 a 99)","","admin","","0","1","0","0","1","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:14","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","212284060018","TS02","VIG"
"Mario Montemuiño","ACC1890","ALMIRNO SA","Mario Montemuiño","212518320010","0","","Empresas Socias Directas","","nmontemuino@montemuino.com","29165519","0.00000000","","","","","","Servicios Profesionales- Técnicos Especializados -Certificaciones","Pequeña (5 a 19)","1","admin","19. Servicios profesionales, técnicos, especializados y aquellos no incluidos en otros grupos","0","0","0","0","0","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:14","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","212518320010","TS01","VIG"
"ALTAMA","ACC1891","ALTAMA SA","ALTAMA","210232930015","0","","Empresas Socias Directas","www.altama.com.uy","francisco@altama.com.uy","26825368","0.00000000","","","26958033","","","Procesamiento y conservación de alimentos - bebidas y tabaco","Mediana (20 a 99)","","admin","","0","1","0","0","1","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:14","Canelones","","","","","","","","Uruguay","Canelones","Canelones","L. Viana","210232930015","TS02","VIG"
"ALUMINIOS DEL URUGUAY","ACC1892","ALUMINIOS DEL URUGUAY SA","ALUMINIOS DEL URUGUAY","210002490013","0","","Empresas Socias Directas","www.aluminios.com","lcabrera@aluminios.com","22001435","0.00000000","","","","","","Productos Metalúrgicos-Maquinaria-Construcción","Grande (más 99)","1","admin","8. Industria de productos metálicos, maquinarias y equipo","0","0","0","0","0","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:14","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","210002490013","TS02","VIG"
"ALVARO MILBURN","ACC1893","ALVARO MILBURN LTDA","ALVARO MILBURN","210353220019","0","","Empresas Socias Directas","www.milburnltda.com.uy","acelto@milburnltda.com.uy","29161080","0.00000000","","","","","","Servicios Profesionales- Técnicos Especializados -Certificaciones","Mediana (20 a 99)","1","admin","19. Servicios profesionales, técnicos, especializados y aquellos no incluidos en otros grupos","0","0","0","0","0","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:14","Montevideo","","","","","","","","Uruguay","","","L. Viana","210353220019","TS02","VIG"
"AMEN SHOP","ACC1894","Amén SA","AMEN SHOP","0","0","","","www.amenshop.com.uy","mile@amen.com.uy","","0.00000000","9446283","","","","","","","","admin","","0","0","0","0","0","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:14","Montevideo","","","","","","","","","","","D. Villar","","",""
"Ana Sofia Pedrozo Viajes y Turismo","ACC1895","ANA SOFIA PEDROZO VILA SRL","Ana Sofia Pedrozo Viajes y Turismo","30155530013","0","","Empresas Socias Directas","www.anasofiapedrozo.com","anasofia@anasofiapedrozo.com","46423357","0.00000000","","","","","","Hoteles Restaurantes- Bares - Entretenimiento","","","admin","","0","0","0","0","1","Socio","2023-09-05 18:25:39","vpopovich@cncs.com.uy","IMPORT","0","","2026-04-17 12:33:14","Cerro Largo","","Dario Silva 654","","Melo","","","","Uruguay","","Cerro Largo",".","","",""
"De Rosa Collections","ACC1896","Ancers SA","De Rosa Collections","210205450016","0","","Empresas Socias Directas","www.derosacollections.com","agustina@derosacollections.com","26828206 Int 102","0.00000000","99777495","","","","","Bazar-Ferretería-Pinturería","Mediana (20 a 99)","Residual","admin","19. Servicios profesionales, técnicos, especializados y aquellos no incluidos en otros grupos","0","0","0","1","1","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:14","Canelones","","","","","","","","Uruguay","Canelones","Canelones","L. Viana","210205450016","TS02","VIG"
"AMSA Repuestos","ACC1897","AMSA Repuestos SA","AMSA Repuestos","210166180017","0","","Empresas Socias Directas","www.amsa.com.uy","laura@angres.com.uy","29020681","0.00000000","","","","","","Automotriz- Motocicletas – Autopartes","Mediana (20 a 99)","","admin","","0","0","0","0","0","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:15","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","210166180017","TS02","VIG"
"LABORATORIOS APITER","ACC1898","APITER SA","LABORATORIOS APITER","210774960019","0","","Empresas Socias Directas","www.apiter.com","tesoreria@apiter.com","22880755","0.00000000","","","","","","Industria Farmacéutica","Mediana (20 a 99)","","admin","","0","0","0","0","1","Socio","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:15","Montevideo","","","","","","","","Uruguay","","","L. Viana","210774960019","TS02","VIG"
"AMEC","ACC1899","ARCOBELL SA","AMEC","213626690018","0","","Empresas Socias Directas","","contable@amec.com.uy","24801212","0.00000000","","","","","","Servicios de Salud y actividades conexas","Grande (más 99)","","admin","15.Servicios de salud y anexos","0","0","0","0","0","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:15","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","213626690018","TS02","VIG"
"Arenera Indare","ACC1900","Arenera Indare SA","Arenera Indare","213944050012","0","","","www.areneraindare.com","areneraindaresa@gmail.com","","0.00000000","99550088","","","","","","Micro (1 a 4)","","admin","","0","0","0","0","0","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:15","Colonia","","","","","","","","Uruguay","","","D. Villar","","",""
"MANPOWERGROUP URUGUAY","ACC1901","ARIS SA","MANPOWERGROUP URUGUAY","211358380012","0","","Empresas Socias Directas","","vavila@manpowergroup.com.uy","24006029","0.00000000","","","","","","Servicios Profesionales- Técnicos Especializados -Certificaciones","Grande (más 99)","2","admin","19. Servicios profesionales, técnicos, especializados y aquellos no incluidos en otros grupos","0","0","0","0","0","","2023-09-05 18:25:39","admin","IMPORT","0","","2026-04-17 12:33:15","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","211358380012","TS02","VIG"
"Casa Garrido","ACC1902","ARLOMAR SA","Casa Garrido","211010960013","0","","","","","29291292","0.00000000","","","","","","","Mediana (20 a 99)","","admin","","0","0","0","0","0","","2023-09-05 18:25:40","admin","IMPORT","0","","2026-04-17 12:33:15","","","","","","","","","","","","","211010960013","",""
"Arnaldo C. Castro","ACC1903","Arnaldo C Castro SA","Arnaldo C. Castro","210194590011","0","","","","heber.assaf@arnaldocastro.com.uy","","0.00000000","99602346","","","","","","","","admin","","0","0","0","0","0","","2023-09-05 18:25:40","admin","IMPORT","0","","2026-04-17 12:33:15","","","","","","","","","","","","D. Villar","210194590011","",""
"ARQUIFOAM","ACC1904","ARQUIFOAM SA","ARQUIFOAM","214295560013","0","","Empresas Socias Directas","www.arquifoamarquitectura.com","info@arquifoam.com","22097443","0.00000000","","","","","","Productos Metalúrgicos-Maquinaria-Construcción","Mediana (20 a 99)","7","admin","8. Industria de productos metálicos, maquinarias y equipo","0","0","0","1","0","","2023-09-05 18:25:40","admin","IMPORT","0","","2026-04-17 12:33:15","Montevideo","","","","","","","","Uruguay","","","L. Viana","214295560013","TS02","VIG"
"ART OF VISION S.A.","ACC1905","ART OF VISION SA","ART OF VISION S.A.","212500350015","0","","","","","29028039","0.00000000","","","","","","","Pequeña (5 a 19)","","admin","","0","0","0","0","0","","2023-09-05 18:25:40","admin","IMPORT","0","","2026-04-17 12:33:15","Montevideo","","","","","","","","","","","","","",""
"ARUYA","ACC1906","ARUYA SA","ARUYA","212319050013","0","","","","","29154063","0.00000000","","","","","","","Pequeña (5 a 19)","","admin","","0","0","0","0","0","","2023-09-05 18:25:40","admin","IMPORT","0","","2026-04-17 12:33:15","","","","","","","","","","","","","","",""
"ARYES","ACC1907","ARYES LTDA","ARYES","211393790019","0","","Empresas Socias Directas","www.aryes.com.uy","administracion@aryes.com.uy","29159645","0.00000000","","","","","","Procesamiento y conservación de alimentos - bebidas y tabaco","Pequeña (5 a 19)","","admin","","0","0","0","0","1","","2023-09-05 18:25:40","admin","IMPORT","0","","2026-04-17 12:33:15","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","211393790019","TS02","VIG"
"AECU","ACC1908","ASESORES EMPRESARIALES Y CONTABLES DEL URUGUAY","AECU","0","614","","Gremiales/Asociación","","tramites.contaduria@bf.com.uy","22005508","0.00000000","","","","","","","","","admin","","0","0","0","0","0","","2023-09-05 18:25:40","admin","IMPORT","0","","2026-04-17 12:33:15","","","","","","","","","","","","L.González","","TS03","VIG"
"GS1 URUGUAY","ACC1909","ASOCIACIÓN CIVIL EAN URUGUAY","GS1 URUGUAY","213981060018","0","","Empresas Socias Directas","www.gs1uy.org","slafluf@gs1uy.org","26062134","0.00000000","","","","","","Tecnología-Telecomunicaciones- actividades conexas","Pequeña (5 a 19)","Residual","admin","19. Servicios profesionales, técnicos, especializados y aquellos no incluidos en otros grupos","0","0","0","0","0","","2023-09-05 18:25:40","admin","IMPORT","0","","2026-04-17 12:33:15","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","213981060018","TS02","VIG"
"ASO CIV GRUPO CENTRO","ACC1910","ASOCIACION CIVIL GRUPO CENTRO","GRUPO CENTRO","0","86","","Centro Comercial","","agrupocentro@gmail.com","29027836","0.00000000","","","","","","","","","admin","","0","0","0","0","0","","2023-09-05 18:25:40","admin","IMPORT","0","","2026-04-17 12:33:16","","","","","","","","","Uruguay","","","L. Viana","","TS03","VIG"
"Integra Residenciales","ACC1911","ASOCIACION CIVIL INTEGRA RESIDENCIALES","Integra Residenciales","0","679","","Gremiales/Asociación","","","","0.00000000","","","","","","","","","admin","","0","0","0","0","0","","2023-09-05 18:25:40","admin","IMPORT","0","","2026-04-17 12:33:16","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","","TS03","VIG"
"ACU","ACC1912","ASOCIACION COMERCIAL DEL URUGUAY","ACU","0","216","","Gremiales/Asociación","","asociacioncomercialdeluruguay@gmail.com","24008739","0.00000000","","ccomercialunion@gmail.com","","","","","","","admin","","0","0","0","0","0","","2023-09-05 18:25:40","admin","IMPORT","0","","2026-04-17 12:33:16","Montevideo","","","","","","","","Uruguay","Montevideo","Montevideo","L. Viana","","TS03","VIG"
"ACI DE CANELONES","ACC1913","ASOCIACION COMERCIAL E INDUSTRIAL DE CANELONES","ACIC","20187120018","0","","Centro Comercial","","acic@internet.com.uy","43322521","0.00000000","","","","","","","","","admin","","0","0","0","0","0","","2023-09-05 18:25:40","admin","IMPORT","0","","2026-04-17 12:33:16","","","","","","","","","Uruguay","","Canelones","L. Viana","","TS03","BAJ"
